propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
BZ-3363-NP,14-Jun-14,Apartment,Apartment / Unit / Flat,Sold,"201/53 Cowper Street, RANDWICK NSW 2031",NSW,eastern_suburbs,Randwick,2031,36632,"$875,000 ",0,0,2,2,1,0K,
GU-5018-VX,27-Aug-15,Apartment,Apartment / Unit / Flat,Sold,"1/7 Nurmi Avenue, Newington NSW 2127",NSW,inner_west,Newington,2127,32572,"$735,000 ",0,176 Square sqm,2,2,1,0K,
JO-4162-RB,6-Sep-13,Apartment,Apartment / Unit / Flat,Sold,"3/206 Clovelly Road, CLOVELLY NSW 2031",NSW,eastern_suburbs,Clovelly,2031,10312,"$775,000 ",0,0,2,1,1,0K,
RZ-7305-JP,8-Nov-11,Apartment,Apartment / Unit / Flat,Sold,"12/129 Spit Road, MOSMAN NSW 2088",NSW,north_shore_lower,Mosman,2088,30012,"$545,000 ",0,0,1,1,1,0K,
TA-8082-TK,9-Mar-15,Apartment,Apartment / Unit / Flat,Sold,"8/14 Arcadia St, PENSHURST NSW 2222",NSW,st_george,Penshurst,2222,35362,"$512,000 ",0,0,2,1,1,0K,
MA-1197-AI,18-Mar-13,Apartment,Apartment / Unit / Flat,Sold,"4/43 Martin Street, FRESHWATER NSW 2096",NSW,northern_beaches,Freshwater,2096,63222,"$535,000 ",0,0,2,1,1,0K,
RZ-9279-HP,16-Jan-14,Apartment,Apartment / Unit / Flat,Sold,"17/11 Wallace Street, MARRICKVILLE NSW 2204",NSW,inner_west,Marrickville,2204,27552,"$650,000 ",0,0,2,2,1,0K,"Built-In Wardrobes, Close to Shops, Close to Transport, Secure Parking, Terrace-Balcony"
ZZ-2862-QR,21-Jan-15,Apartment,Apartment / Unit / Flat,Sold,"11/29 Frederick Street, Rockdale NSW 2216",NSW,st_george,Rockdale,2216,37352,"$508,000 ",0,0,2,1,1,0K,
BL-4411-UX,8-May-13,Apartment,Apartment / Unit / Flat,Sold,"23/107 Quay Street, SYDNEY NSW 2000",NSW,sydney_city,Sydney,2000,41352,"$700,000 ",0,0,2,2,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Pool, Secure Parking, Terrace-Balcony, separate storage;central ducted air-con;Internal laundry"
QK-0560-UA,22-Jul-14,Apartment,Apartment / Unit / Flat,Sold,"33/1 Corby Avenue, CONCORD NSW 2137",NSW,inner_west,Concord,2137,11092,"$510,000 ",0,0,2,1,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Secure Parking, Terrace-Balcony"
GD-7691-ZM,22-Feb-11,Apartment,Apartment / Unit / Flat,Sold,"125/83-93 Dalmeny Avenue, ROSEBERY NSW 2018",NSW,eastern_suburbs,Rosebery,2018,37622,"$568,000 ",0,0,2,2,1,0K,
EG-9632-JN,13-Nov-15,Apartment,Apartment / Unit / Flat,Sold,"19/37 Morley Avenue, Rosebery NSW 2018",NSW,eastern_suburbs,Rosebery,2018,37622,"$625,000 ",0,0,1,1,1,0K,
QG-7684-BC,2-Nov-13,Apartment,Apartment / Unit / Flat,Sold,"73/35-39 Fontenoy Road, MACQUARIE PARK NSW 2113",NSW,northern_suburbs,Macquarie Park,2113,26812,"$555,000 ",0,0,2,1,2,0K,
