propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
,6-Aug-15,Apartment,Apartment / Unit / Flat,Sold,"51/2-4 East Crescent Street, Mcmahons Point NSW 2060",NSW,north_shore_lower,Mcmahons Point,2060,28062,Price Withheld,0,0,1,1,1,0K,"Intercom, Balcony / Deck, Floorboards, Water Views, City Views"
BQ-3232-IC,11-Mar-14,Apartment,Apartment / Unit / Flat,Sold,"67/49 Henderson Rd, ALEXANDRIA NSW 2015",NSW,eastern_suburbs,Alexandria,2015,452,Price Withheld,0,0,2,2,1,0K,"Air Conditioning/Heating,Built-In Wardrobes,Close to Schools,Close to Shops,Close to Transport,Lock up garage with storage,Secure Parking,Terrace-Balcony"
,17-Mar-14,Apartment,Apartment / Unit / Flat,Sold,"11/447-451 Pacific Highway, Asquith NSW 2077",NSW,north_shore_upper,Asquith,2077,1272,Price Withheld,0,0,2,2,1,0K,"Air conditioning,Balcony / Deck,Built in wardrobes,Dishwasher,Ensuite,Fully fenced,Gas,Intercom,Internal Laundry,Secure Parking"
EY-8898-UK,26-Sep-12,Apartment,Apartment / Unit / Flat,Sold,"19/70-78 Cook Road, Centennial Park NSW 2021",NSW,eastern_suburbs,Centennial Park,2021,9542,"$629,500 ",0,0,2,1,1,0K,
TJ-0723-KR,2-Sep-16,Apartment,Apartment / Unit / Flat,Sold,"52/98 Chandos Street, Ashfield NSW 2131",NSW,inner_west,Ashfield,2131,1212,"$642,000 ",0,0,2,2,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Secure Parking, Terrace-Balcony"
YA-2470-MW,19-Dec-13,Apartment,Apartment / Unit / Flat,Sold,"507/6 Nuvolari Place, WENTWORTH POINT NSW 2127",NSW,inner_west,Wentworth Point,2127,21272,"$587,500 ",0,0,2,2,2,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Pool, Secure Parking, Terrace-Balcony, Study, Storage cage, Bus and ferry, Shops, 2 gyms, 3 pools, tennis courts, cafes, restaurants, medical services, walk to waters edge"
RO-9241-SC,30-Nov-12,Apartment,Apartment / Unit / Flat,Sold,"20/57 Cook Road, CENTENNIAL PARK NSW 2021",NSW,eastern_suburbs,Centennial Park,2021,9542,"$555,000 ",0,0,2,1,1,0K,
VO-9970-TO,2-May-12,House,Townhouse,Sold,"10/1 Taranto Road, Marsfield NSW 2122",NSW,northern_suburbs,Marsfield,2122,27602,"$517,500 ",160 sqm,0,2,2,2,0K,
,20-Jun-13,Apartment,Apartment / Unit / Flat,Sold,"Level 7/158 Day Street, Sydney NSW 2000",NSW,sydney_city,Sydney,2000,41352,Price Withheld,0,0,2,2,1,0K,
MM-2217-WY,7-Mar-16,Apartment,Apartment / Unit / Flat,Sold,"13/44 Khartoum Road, Macquarie Park NSW 2113",NSW,northern_suburbs,Macquarie Park,2113,26812,"$680,000 ",0,0,2,1,1,0K,
GK-2891-YR,27-Oct-11,Apartment,Apartment / Unit / Flat,Sold,HURSTVILLE NSW 2220,NSW,st_george,Hurstville,2220,21712,"$500,000 ",0,0,2,2,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Pool, Air Conditioning/Heating, Security Alarm, Terrace-Balcony"
