propertyId,date sold,primaryPropertyType,secondaryPropertyType,primaryCategory,address,state,locarea,suburb,postcode,suburbId,price,buildingsize,landsize,bedrooms,bathrooms,parking,medianPrice,propertyFeatures
,29 May 2014,Apartment,Apartment / Unit / Flat,Sold,"1/434 Mowbray Road, Lane Cove NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,Price Withheld,0,0,2,1,1,0K,
JH-6375-KM,03 Mar 2017,Apartment,Apartment / Unit / Flat,Sold,"405/18 Woodlands Avenue, Breakfast Point NSW 2137",NSW,inner_west,Breakfast Point,2137,6182,"$735,000",0,90 sqm,1,1,1,0K,
CH-1697-CK,02 Dec 2009,Apartment,Apartment / Unit / Flat,Sold,"6/19-27 Glenmore Road, Naremburn NSW 2065",NSW,north_shore_lower,Naremburn,2065,31962,"$615,000",0,0,2,2,1,0K,
QZ-9555-DC,22 Oct 2013,Apartment,Apartment / Unit / Flat,Sold,"30/6 Dutruc Street, Randwick NSW 2031",NSW,eastern_suburbs,Randwick,2031,36632,"$620,000",78,0,1,1,1,0K,"Close to Schools, Close to Shops, Close to Transport, Intercom, Courtyard, Security Access, Floorboards"
RV-4661-LB,04 Jul 2016,Apartment,Apartment / Unit / Flat,Sold,"4/22 May Street, Eastwood NSW 2122",NSW,northern_suburbs,Eastwood,2122,15212,"$525,000",0,0,1,1,1,0K,Secure Parking
A28361662,18 Apr 2011,Apartment,Apartment / Unit / Flat,Sold,"23/33 Palomar Parade, Freshwater NSW 2096",NSW,northern_beaches,Freshwater,2096,63222,"$515,000",0,0,2,1,1,0K,
DL-6060-DL,12 Dec 2016,Apartment,Apartment / Unit / Flat,Sold,"11/6-8 Queens Road, Brighton-Le-Sands NSW 2216",NSW,st_george,Brighton-Le-Sands,2216,6332,"$650,000",0,0,2,1,1,0K,
IP-5354-LM,24 Apr 2015,Apartment,Apartment / Unit / Flat,Sold,"13/41-43 Vermont Street, SUTHERLAND NSW 2232",NSW,sutherland,Sutherland,2232,41192,"$560,000",0,0,2,1,1,0K,
MW-4389-AO,04 May 2016,Apartment,Apartment / Unit / Flat,Sold,"3/38 Centennial Avenue, Lane Cove NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,"$700,000",0,0,2,1,1,0K,
PN-0809-ZU,26 May 2011,Apartment,Apartment / Unit / Flat,Sold,"16/21 George Street, Burwood NSW 2134",NSW,inner_west,Burwood,2134,7832,"$525,000",0,0,2,1,1,0K,Secure Parking
SQ-3341-TA,19 Oct 2013,Apartment,Apartment / Unit / Flat,Sold,"948/2 Marquet St., Rhodes NSW 2138",NSW,inner_west,Rhodes,2138,37132,"$638,000",0,0,2,2,3,0K,"Balcony / Deck,Bath,Built in wardrobes,Dishwasher,Ensuite,Ensuite(s),Gas,Gym,Intercom,Internal Laundry,Secure Parking,Secure parking,Swimming Pool"
MQ-4118-DI,13 Dec 2014,Apartment,Apartment / Unit / Flat,Sold,"7/166 Oberon Street, Coogee NSW 2034",NSW,eastern_suburbs,Coogee,2034,11282,"$740,000",0,0,2,1,1,0K,
IC-4283-PM,27 Apr 2011,Apartment,Apartment / Unit / Flat,Sold,"24/40-48 Gerard Street, Cremorne NSW 2090",NSW,north_shore_lower,Cremorne,2090,12182,"$615,000",0,0,2,1,1,0K,"Balcony / Patio / Terrace,Close to Schools,Close to Shops,Close to Transport,Internal Laundry,Lift,Quiet Location,Views"
QK-6237-PE,07 Aug 2010,House,House,Sold,"75 Lovell Road, EASTWOOD NSW 2122",NSW,northern_suburbs,Eastwood,2122,15212,"$767,000",0,681 sqm sqm,2,1,3,0K,
,26 Feb 2016,Apartment,Apartment / Unit / Flat,Sold,"12/28 Searl Road, Cronulla NSW 2230",NSW,sutherland,Cronulla,2230,12262,"$745,000",0,0,2,1,1,0K,
PG-8592-WL,16 Nov 2012,Apartment,Apartment / Unit / Flat,Sold,"148/1 Katherine Street, CHATSWOOD NSW 2067",NSW,north_shore_lower,Chatswood,2067,9782,"$725,000",0,0,2,2,1,0K,
NX-3793-EY,09 Jul 2013,Apartment,Apartment / Unit / Flat,Sold,"16@1-5 The Crescent :-), DEE WHY NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$560,000",91,0,2,1,1,0K,"Close to Shops, Close to Transport, Internal Laundry, Intercom, Balcony, Gas Heating, Building Security, Water Views, District Views, Close to Beach"
,16 Jun 2012,,,,,,,,,,,,,,,,,
GD-0973-FZ,11 Nov 2015,Apartment,Apartment / Unit / Flat,Sold,"7P/780 Bourke Street, Redfern NSW 2016",NSW,eastern_suburbs,Redfern,2016,36922,"$755,000",0,0,1,1,1,0K,Secure Parking
RX-6380-ZD,29 Aug 2008,Apartment,Apartment / Unit / Flat,Sold,"5/102 Marine Parade, Maroubra NSW 2035",NSW,eastern_suburbs,Maroubra,2035,27512,"$595,000",0,0,2,1,1,0K,Secure Parking
HR-8295-DT,24 Dec 2013,House,House,Sold,"13A Miriam Road, DENISTONE NSW 2114",NSW,northern_suburbs,Denistone,2114,13602,"$830,000",0,0,2,1,1,0K,
KW-2706-OB,11 May 2017,Apartment,Apartment / Unit / Flat,Sold,"42/54 Glencoe St, Sutherland NSW 2232",NSW,sutherland,Sutherland,2232,41192,"$562,500",0,0,2,1,1,0K,"Intercom,Built in wardrobes,Internal Laundry,Dishwasher,Balcony / Deck"
YC-0323-HD,05 Mar 2016,Apartment,Apartment / Unit / Flat,Sold,"10/10 Gosport Street, Cronulla NSW 2230",NSW,sutherland,Cronulla,2230,12262,"$725,000",0,0,2,1,1,0K,"Internal Laundry, Intercom, Swimming Pool, Balcony / Deck, Built in wardrobes, Dishwasher"
OQ-0694-QZ,23 Feb 2017,Apartment,Apartment / Unit / Flat,Sold,"Unit 6, 5 Croydon Street, Cronulla NSW 2230",NSW,sutherland,Cronulla,2230,12262,"$690,000",70,0,1,1,1,0K,"Built-In Wardrobes, Internal Laundry, Intercom, Balcony, Apartment, One Bathroom, Over Sized Garage, Living Area, Floorboards, Outdoor Entertainment, Hot Water Service, Broadband, Dishwasher, Secure Parking, Pay TV, Gas Heating, Master Bedroom, Visitors Parking, Natural Gas, 2  Minute Walk To The Beach"
A28541682,06 Feb 2013,Apartment,Apartment / Unit / Flat,Sold,"10/27-31 Kingsway, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$512,500",0,0,2,1,2,0K,Secure Parking
TX-3170-WM,02 May 2014,Apartment,Apartment / Unit / Flat,Sold,"12/20 Hazelbank Road, Wollstonecraft NSW 2065",NSW,north_shore_lower,Wollstonecraft,2065,48722,"$752,000",0,0,2,1,1,0K,
,19 Feb 2016,Apartment,Apartment / Unit / Flat,Sold,"8/42-46 Wentworth Road, Burwood NSW 2134",NSW,inner_west,Burwood,2134,7832,"$765,000",0,0,2,1,1,0K,
A5623411,10 Jul 2014,Apartment,Apartment / Unit / Flat,Sold,"26/313 Harris Street (Enter at rear of building via Allen Street), Pyrmont NSW 2009",NSW,sydney_city,Pyrmont,2009,36382,"$530,000",55,0,1,1,1,0K,
PK-3494-RV,22 Apr 2016,Apartment,Apartment / Unit / Flat,Sold,"5/84-88 Pacific Parade, Dee Why NSW 2099",NSW,northern_beaches,Dee Why,2099,13452,"$795,000",0,129 sqm,2,1,1,0K,"Air Conditioning, Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport"
UR-1722-KG,27 Jul 2011,Apartment,Apartment / Unit / Flat,Sold,"28/44 Melrose Parade, Clovelly NSW 2031",NSW,eastern_suburbs,Clovelly,2031,10312,"$720,000",0,0,2,1,1,0K,"Bath,Built in Wardrobes,Close to Transport,Dishwasher,Gas,Internal Laundry,Modern Bathroom,Modern Kitchen,Parking,Polished TimberFloor,Quiet Location,Security,Terrace,Views"
,22 Jun 2011,,,,,,,,,,,,,,,,,
,03 Mar 2015,Apartment,Apartment / Unit / Flat,Sold,"5/38-40 Clyde Street, Croydon Park NSW 2133",NSW,inner_west,Croydon Park,2133,12442,"$650,000",0,0,2,2,1,0K,
,17 Jul 2014,,,,,,,,,,,,,,,,,
QJ-0789-WV,29 Oct 2013,Apartment,Apartment / Unit / Flat,Sold,"17/74-80 Woniora Road, HURSTVILLE NSW 2220",NSW,st_george,Hurstville,2220,21712,"$527,000",0,0,2,1,1,0K,
JP-5897-GZ,17 Sep 2010,House,Townhouse,Sold,"8/2-6 Derbyshire Street, Leichhardt NSW 2040",NSW,inner_west,Leichhardt,2040,25302,"$640,000",0,0,2,2,1,0K,"Balcony / Patio / Terrace,Bath,Built in Wardrobes,Close to Schools,Close to Shops,Close to Transport,Ensuite(s),Formal Lounge,Garden,Internal Laundry,Modern Bathroom,Modern Kitchen,Quiet Location,Separate Dining Room"
,28 Mar 2014,Apartment,Apartment / Unit / Flat,Sold,"HG01/ 10-16 Marquet Street, RHODES NSW 2138",NSW,inner_west,Rhodes,2138,37132,"$603,000",0,0,2,2,1,0K,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Pool, Secure Parking, Terrace-Balcony"
IX-2910-NL,30 Sep 2011,Apartment,Apartment / Unit / Flat,Sold,"1605/6 Lachlan St, Waterloo NSW 2017",NSW,eastern_suburbs,Waterloo,2017,46622,Price Withheld,0,0,2,1,1,0K,
RO-5656-VT,16 Jan 2014,Apartment,Apartment / Unit / Flat,Sold,"12/121 Burns Bay Road, LANE COVE NSW 2066",NSW,north_shore_lower,Lane Cove,2066,24982,"$560,000",0,0,2,1,1,0K,
